PVWatts Hourly PV Performance Data,,,,,,,,,,,
Requested Location,turin,,,,,,,,,,
Location,"TORINO-CASELLE, ITALY",,,,,,,,,,
Latitude (DD),45.18,,,,,,,,,,
Longitude (DD),7.65,,,,,,,,,,
Elevation (m),282,,,,,,,,,,
DC System Size (kW),14.2,,,,,,,,,,
Module Type,Standard,,,,,,,,,,
Array Type,2-Axis Tracking,,,,,,,,,,
Array Tilt (deg),0,,,,,,,,,,
Array Azimuth (deg),180,,,,,,,,,,
System Losses (%),14.08,,,,,,,,,,
DC to AC Size Ratio,1.2,,,,,,,,,,
Inverter Efficiency (%),96,,,,,,,,,,
Ground Coverage Ratio,NA,,,,,,,,,,
Albedo,From weather file,,,,,,,,,,
Bifacial,No (0),,,,,,,,,,
Monthly Irradiance Loss (%),,,,,,,,,,,
1,9,3,0,0,-8.2,0,0.2,0,-8.2,0,0
1,9,4,0,0,-8.5,0,0.2,0,-8.5,0,0
1,9,5,0,0,-8.6,0,0.2,0,-8.6,0,0
1,9,6,0,0,-8.5,0,0.2,0,-8.5,0,0
1,9,7,0,0,-8.1,0,0.2,0,-8.1,0,0
1,9,8,23,11,-7.5,0,0.2,0,-7.5,0,0
1,9,9,105,42,-6.6,0,0.2,196.816,1.38,2473.163,2329.246
1,9,10,193,67,-5.2,0,0.2,297.616,7.03,3892.802,3698.582
1,9,11,260,83,-3.5,0,0.2,407.357,13.251,5252.658,5010.253
1,9,12,287,89,-1.4,0,0.2,438.504,16.625,5582.546,5328.451
1,9,13,268,85,-0.5,0,0.2,412.832,16.467,5251.893,5009.515
1,9,14,208,71,0.1,0,0.2,334.696,13.86,4287.142,4078.949
1,9,15,122,47,0.2,0,0.2,191.489,8.072,2470.991,2327.151
1,9,16,36,17,-0.4,0,0.2,66.093,2.297,817.31,732.066
1,9,17,0,0,-1.6,0,0.2,0,0,0,0
1,9,18,0,0,-3.4,0,0.2,0,-3.4,0,0
1,9,19,0,0,-4.6,0,0.2,0,-4.6,0,0
1,9,20,0,0,-5.8,0,0.2,0,-5.8,0,0
1,9,21,0,0,-7,0,0.2,0,-7,0,0
1,9,22,0,0,-7.5,0,0.2,0,-7.5,0,0
1,9,23,0,0,-7.7,0,0.2,0,-7.7,0,0
1,10,0,0,0,-7.6,0,0.2,0,-7.6,0,0
1,10,1,0,0,-8.1,0,0.2,0,-8.1,0,0
1,10,2,0,0,-8.8,0,0.2,0,-8.8,0,0
1,10,3,0,0,-9.6,0,0.2,0,-9.6,0,0
1,10,4,0,0,-9.9,0,0.2,0,-9.9,0,0
1,10,5,0,0,-9.9,0,0.2,0,-9.9,0,0
1,10,6,0,0,-9.8,0,0.2,0,-9.8,0,0
1,10,7,0,0,-9.4,0,0.2,0,-9.4,0,0
1,10,8,36,8,-8.7,0,0.2,0,-8.7,0,0
1,10,9,158,30,-7.8,0,0.2,249.222,2.317,3154.602,2986.539
1,10,10,284,48,-5.4,0,0.2,386.93,10.512,5036.139,4801.406
1,10,11,379,60,-2,0,0.2,510.591,19.011,6482.281,6196.305
1,10,12,418,64,2.2,0,0.2,552.308,24.917,6851.851,6552.781
1,10,13,392,61,3.1,0,0.2,520.467,24.506,6460.964,6175.744
1,10,14,307,51,2.9,0,0.2,420.638,20.206,5298.94,5054.895
1,10,15,185,34,1.4,0,0.2,257.447,11.991,3308.799,3135.272
1,10,16,57,12,0.4,0,0.2,92.499,4.178,1153.768,1056.603
1,10,17,0,0,-1,0,0.2,0,0,0,0
1,10,18,0,0,-2.8,0,0.2,0,-2.8,0,0
1,10,19,0,0,-4,0,0.2,0,-4,0,0
1,10,20,0,0,-5,0,0.2,0,-5,0,0
1,10,21,0,0,-6,0,0.2,0,-6,0,0
1,10,22,0,0,-6.8,0,0.2,0,-6.8,0,0
1,10,23,0,0,-7.4,0,0.2,0,-7.4,0,0
1,11,0,0,0,-7.8,0,0.2,0,-7.8,0,0
1,11,1,0,0,-8.3,0,0.2,0,-8.3,0,0
1,11,2,0,0,-8.7,0,0.2,0,-8.7,0,0
1,11,3,0,0,-9,0,0.2,0,-9,0,0
1,11,4,0,0,-9.3,0,0.2,0,-9.3,0,0
1,11,5,0,0,-9.5,0,0.2,0,-9.5,0,0
1,11,6,0,0,-9.6,0,0.2,0,-9.6,0,0
1,11,7,0,0,-9.4,0,0.2,0,-9.4,0,0
1,11,8,16,15,-9,0,0.2,0,-9,0,0
1,11,9,78,57,-8.4,0,0.2,189.224,-0.731,2390.509,2249.521
1,11,10,147,91,-6.6,0,0.2,266.422,4.341,3501.168,3320.825
1,11,11,201,113,-4.2,0,0.2,360.146,10.6,4668.298,4446.599
1,11,12,224,121,-1,0,0.2,387.997,14.939,4949.238,4717.584
1,11,13,209,116,0.1,0,0.2,365.209,15.101,4648.645,4427.642
1,11,14,161,97,0.5,0,0.2,294.39,12.596,3769.312,3579.468
1,11,15,93,66,0.2,0,0.2,168.235,7.112,2165.606,2032.587
1,11,16,28,24,-0.7,0,0.2,54.404,1.521,671.199,591.134
1,11,17,0,0,-2.2,0,0.2,0,0,0,0
1,11,18,0,0,-4.4,0,0.2,0,-4.4,0,0
1,11,19,0,0,-5.6,0,0.2,0,-5.6,0,0
1,11,20,0,0,-6.6,0,0.2,0,-6.6,0,0
1,11,21,0,0,-7.4,0,0.2,0,-7.4,0,0
1,11,22,0,0,-8,0,0.2,0,-8,0,0
1,11,23,0,0,-8.4,3,0.2,0,-8.4,0,0
1,12,0,0,0,-8.6,6,0.2,0,-8.6,0,0
1,12,1,0,0,-8.9,6,0.2,0,-8.9,0,0
1,12,2,0,0,-9.1,3,0.2,0,-9.1,0,0
1,12,3,0,0,-9.2,0,0.2,0,-9.2,0,0
1,12,4,0,0,-9.5,0,0.2,0,-9.5,0,0
1,12,5,0,0,-9.9,0,0.2,0,-9.9,0,0
1,12,6,0,0,-10.4,0,0.2,0,-10.4,0,0
1,12,7,0,0,-10,0,0.2,0,-10,0,0
1,12,8,18,15,-9.2,0,0.2,0,-9.2,0,0
1,12,9,84,55,-8,0,0.2,187.818,-0.382,2375.289,2234.841
1,12,10,156,87,-5.6,0,0.2,291.578,6.374,3810.663,3619.353
1,12,11,213,108,-2.5,3,0.2,364.924,4.93,4831.419,4603.94
1,12,12,238,117,1.4,3,0.2,396.613,9.472,5164.984,4925.686
1,12,13,222,111,3.3,3,0.2,371.503,10.86,4806.703,4580.1
1,12,14,172,93,4.6,3,0.2,299.779,10.703,3869.129,3675.748
1,12,15,101,64,5.2,0,0.2,173.398,12.326,2192.504,2058.532
1,12,16,31,24,4.1,0,0.2,57.227,6.437,695.103,614.19
1,12,17,0,0,1.7,0,0.2,0,0,0,0
1,12,18,0,0,-1.8,0,0.2,0,-1.8,0,0
1,12,19,0,0,-3,0,0.2,0,-3,0,0
1,12,20,0,0,-3.6,0,0.2,0,-3.6,0,0
1,12,21,0,0,-3.6,0,0.2,0,-3.6,0,0
1,12,22,0,0,-3.9,0,0.2,0,-3.9,0,0
1,12,23,0,0,-4,0,0.2,0,-4,0,0
1,13,0,0,0,-4,0,0.2,0,-4,0,0
1,13,1,0,0,-4.4,0,0.2,0,-4.4,0,0
