timestamp,power_in_watts,graphic_clock,memory_clock,sm_clock,step
1736190316.940512,227.222,2790,10251,2790,backward
1736190316.9442198,227.222,2790,10251,2790,backward
1736190316.9473743,227.222,2790,10251,2790,backward
1736190316.9504478,227.222,2790,10251,2790,backward
1736190316.9535117,227.222,2790,10251,2790,backward
1736190316.9565856,227.222,2790,10251,2790,backward
1736190316.9604876,227.222,2790,10251,2790,backward
1736190316.9642637,227.222,2790,10251,2790,backward
1736190316.9675224,227.222,2790,10251,2790,backward
1736190316.9706051,227.222,2790,10251,2790,backward
1736190316.9736893,227.222,2790,10251,2790,backward
1736190316.9768114,227.222,2790,10251,2790,backward
1736190316.9807842,227.222,2790,10251,2790,backward
1736190316.9861658,227.222,2790,10251,2790,backward
1736190316.9955232,227.222,2790,10251,2790,to_device
1736190316.9992094,227.222,2790,10251,2790,forward
1736190317.0041912,227.222,2790,10251,2790,forward
1736190317.010641,227.089,2790,10251,2790,forward
1736190317.01368,227.089,2790,10251,2790,forward
1736190317.0167043,227.089,2790,10251,2790,forward
1736190317.0206964,227.089,2790,10251,2790,forward
1736190317.0243416,227.089,2790,10251,2790,forward
1736190317.0274982,227.089,2790,10251,2790,backward
1736190317.0306108,227.089,2790,10251,2790,backward
1736190317.0336962,227.089,2790,10251,2790,backward
1736190317.0367825,227.089,2790,10251,2790,backward
1736190317.0405033,227.089,2790,10251,2790,backward
1736190317.0441418,227.089,2790,10251,2790,backward
1736190317.0473275,227.089,2790,10251,2790,backward
1736190317.0503728,227.089,2790,10251,2790,backward
1736190317.053413,227.089,2790,10251,2790,backward
1736190317.0564666,227.089,2790,10251,2790,backward
1736190317.0606213,227.089,2790,10251,2790,backward
1736190317.064448,227.089,2790,10251,2790,backward
1736190317.06761,227.089,2790,10251,2790,backward
1736190317.0706348,227.089,2790,10251,2790,backward
1736190317.0736654,227.089,2790,10251,2790,backward
1736190317.076819,227.089,2790,10251,2790,backward
1736190317.080618,227.089,2790,10251,2790,backward
1736190317.0862298,227.089,2790,10251,2790,backward
1736190317.0957384,227.089,2790,10251,2790,to_device
1736190317.0991066,227.089,2790,10251,2790,forward
1736190317.1043673,227.089,2790,10251,2790,forward
1736190317.1109772,226.941,2790,10251,2790,forward
1736190317.1140628,226.941,2790,10251,2790,forward
1736190317.1171665,226.941,2790,10251,2790,forward
1736190317.120938,226.941,2790,10251,2790,forward
1736190317.126314,226.941,2790,10251,2790,forward
1736190317.1293578,226.941,2790,10251,2790,forward
1736190317.1323953,226.941,2790,10251,2790,backward
1736190317.135455,226.941,2790,10251,2790,backward
1736190317.139194,226.941,2790,10251,2790,backward
1736190317.1429062,226.941,2790,10251,2790,backward
1736190317.1467032,226.941,2790,10251,2790,backward
1736190317.1498704,226.941,2790,10251,2790,backward
1736190317.1529613,226.941,2790,10251,2790,backward
1736190317.156031,226.941,2790,10251,1863,backward
1736190317.1599224,226.941,2790,10251,2790,backward
1736190317.163901,226.941,2790,10251,2790,backward
1736190317.1670802,226.941,2790,10251,2790,backward
1736190317.1701407,226.941,2790,10251,2790,backward
1736190317.1732068,226.941,2790,10251,2790,backward
1736190317.1762798,226.941,2790,10251,2790,backward
1736190317.1801293,226.941,2790,10251,2790,backward
1736190317.1840966,226.941,2790,10251,2790,backward
1736190317.1872804,226.941,2790,10251,2790,backward
1736190317.1966803,226.941,2790,10251,2790,to_device
1736190317.2007172,226.941,2790,10251,2790,forward
1736190317.20971,226.869,2790,10251,2790,forward
1736190317.2127976,226.869,2790,10251,2790,forward
1736190317.2158427,226.869,2790,10251,2790,forward
1736190317.2198107,226.869,2790,10251,2790,forward
1736190317.22369,226.869,2790,10251,2790,forward
1736190317.2271369,226.869,2790,10251,2790,forward
1736190317.230173,226.869,2790,10251,2790,backward
1736190317.2332056,226.869,1863,10251,2790,backward
1736190317.236254,226.869,2790,10251,2790,backward
1736190317.240192,226.869,2790,10251,2790,backward
